Player,Pos,Tm,G,MP,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Terrence Jones\joneste01,PF,TOT,54,1270,.516,.153,.346,5.4,20.2,12.7,7.3,1.5,3.5,7.8,21.4
Tyus Jones\jonesty01,PG,MIN,60,774,.523,.403,.238,1.5,8.7,5.0,28.0,3.1,0.6,16.0,13.6
DeAndre Jordan\jordade01,C,LAC,81,2570,.673,.003,.737,13.3,34.6,24.2,5.7,1.0,4.3,13.2,15.3
Cory Joseph\josepco01,SG,TOR,80,2003,.518,.204,.185,2.9,10.4,6.6,20.0,1.7,0.6,13.1,18.4
Frank Kaminsky\kaminfr01,C,CHO,75,1954,.502,.441,.195,3.2,15.8,9.5,13.5,1.2,1.5,8.0,21.8
Enes Kanter\kanteen01,C,OKC,72,1533,.599,.052,.387,14.1,20.8,17.4,7.9,1.0,2.0,12.5,27.3
Ryan Kelly\kellyry01,PF,ATL,16,110,.408,.357,.214,1.0,16.7,9.0,10.2,1.8,3.9,11.5,13.7
Michael Kidd-Gilchrist\kiddgmi01,SF,CHO,81,2349,.528,.015,.314,7.3,19.3,13.2,7.4,1.7,2.9,7.4,14.6
Sean Kilpatrick\kilpase01,SG,BRK,70,1754,.546,.419,.329,1.3,15.4,8.4,14.6,1.2,0.3,13.9,23.9
Brandon Knight\knighbr03,SG,PHO,54,1140,.502,.265,.293,2.3,9.1,5.6,17.8,1.1,0.4,13.1,25.0
Kyle Korver\korveky01,SG,TOT,67,1753,.635,.697,.082,0.5,11.0,5.9,9.4,1.0,1.0,11.5,15.2
Kosta Koufos\koufoko01,C,SAC,71,1419,.560,.003,.158,9.7,22.9,16.4,5.3,1.3,3.1,12.7,15.3
Mindaugas Kuzminskas\kuzmimi01,SF,NYK,68,1016,.533,.455,.184,5.0,8.4,6.7,10.3,1.4,0.9,11.3,19.2
Skal Labissiere\labissk01,PF,SAC,33,612,.577,.037,.339,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3
Jeremy Lamb\lambje01,SG,CHO,62,1143,.550,.297,.263,2.9,22.7,12.7,11.3,1.2,1.8,6.8,23.2
Nicolas Laprovittola\laproni01,PG,SAS,18,174,.579,.574,.191,0.7,5.7,3.3,23.0,1.2,0.5,27.2,18.2
Joffrey Lauvergne\lauvejo01,PF-C,TOT,70,980,.509,.292,.217,8.0,20.1,14.1,10.8,1.3,0.5,13.2,18.5
Zach LaVine\lavinza01,SG,MIN,47,1749,.576,.437,.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7
Ty Lawson\lawsoty01,PG,SAC,69,1732,.551,.226,.416,3.0,8.9,6.0,30.0,2.2,0.3,17.3,19.5
Jake Layman\laymaja01,SF,POR,35,249,.404,.573,.191,2.7,8.0,5.3,6.2,1.8,1.0,10.2,19.0
Courtney Lee\leeco01,SG,NYK,77,2459,.559,.382,.139,2.3,9.1,5.7,10.6,1.6,0.8,8.5,14.4
David Lee\leeda02,PF,SAS,79,1477,.613,.000,.269,11.6,21.9,16.9,13.0,1.1,2.2,14.9,16.9
Alex Len\lenal01,C,PHO,77,1560,.553,.026,.449,10.6,25.3,17.8,4.2,1.1,5.1,15.5,17.6
Kawhi Leonard\leonaka01,SF,SAS,74,2474,.611,.294,.407,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1
Meyers Leonard\leoname01,PF,POR,74,1222,.507,.563,.106,2.4,19.0,10.7,8.4,0.5,1.8,8.1,15.5
Jon Leuer\leuerjo01,PF,DET,75,1944,.551,.259,.175,5.5,17.5,11.3,8.6,0.8,1.1,8.7,17.3
Caris LeVert\leverca01,SF,BRK,57,1237,.556,.484,.245,2.0,13.9,8.0,13.7,1.9,0.5,12.3,16.6
DeAndre Liggins\liggide01,SG,TOT,62,777,.476,.324,.282,2.9,12.2,7.7,9.2,3.0,1.5,20.8,11.6
Damian Lillard\lillada01,PG,POR,75,2694,.586,.388,.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5
Jeremy Lin\linje01,PG,BRK,36,883,.566,.390,.353,1.3,14.7,8.1,35.5,2.2,1.2,15.7,26.6
Shaun Livingston\livinsh01,PG,GSW,76,1345,.568,.009,.190,2.4,9.4,6.2,13.5,1.4,1.2,15.1,12.9
Shawn Long\longsh01,C,PHI,18,234,.595,.174,.321,19.3,20.8,20.0,10.7,1.9,3.1,9.5,25.4
Kevon Looney\looneke01,C,GSW,53,447,.553,.084,.318,11.5,18.5,15.2,8.5,1.5,3.0,12.2,13.4
Brook Lopez\lopezbr01,C,BRK,75,2222,.578,.330,.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2
Robin Lopez\lopezro01,C,CHI,81,2271,.511,.003,.134,11.4,13.2,12.3,5.6,0.4,4.1,9.9,17.5
Kevin Love\loveke01,PF,CLE,60,1885,.573,.449,.340,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4
Kyle Lowry\lowryky01,PG,TOR,60,2244,.623,.510,.398,2.4,12.1,7.3,29.9,2.0,0.7,13.8,24.9
John Lucas III\lucasjo02,PG,MIN,5,11,.250,.250,.000,0.0,0.0,0.0,12.5,9.2,0.0,0.0,16.1
Timothe Luwawu-Cabarrot\luwawti01,SF,PHI,69,1190,.536,.446,.341,2.3,11.5,6.9,9.6,1.3,0.7,15.0,17.8
Trey Lyles\lylestr01,PF,UTA,71,1158,.464,.465,.180,4.9,18.1,11.7,9.6,1.2,1.4,11.9,21.7
Shelvin Mack\macksh01,PG,UTA,55,1205,.518,.315,.202,2.0,10.1,6.1,20.4,1.8,0.2,17.8,19.6
Ian Mahinmi\mahinia01,C,WAS,31,555,.601,.000,.676,9.6,20.8,15.2,4.7,2.9,3.6,19.1,14.0
Thon Maker\makerth01,C,MIL,57,562,.558,.409,.271,8.4,15.2,11.8,6.2,0.9,4.1,7.7,17.8
Boban Marjanovic\marjabo01,C,DET,35,293,.606,.000,.439,16.5,32.5,24.2,5.3,1.0,3.4,6.0,25.3
Jarell Martin\martija01,PF,MEM,42,558,.477,.166,.331,8.4,25.3,16.6,2.2,1.6,1.5,13.9,16.4
Wesley Matthews\matthwe02,SG,DAL,73,2495,.533,.566,.211,0.8,11.8,6.0,13.6,1.6,0.6,9.9,19.4
Luc Mbah a Moute\mbahalu01,SF,LAC,80,1787,.581,.291,.230,3.0,7.7,5.4,3.1,2.3,1.6,10.1,11.6
James Michael McAdoo\mcadoja01,PF,GSW,52,457,.543,.068,.359,8.7,12.6,10.8,4.9,1.9,5.0,12.3,14.6
Patrick McCaw\mccawpa01,SG,GSW,71,1074,.540,.502,.151,2.4,7.6,5.2,9.0,1.4,1.1,12.1,11.9
Sheldon McClellan\mcclesh01,SG,WAS,30,287,.518,.400,.360,1.6,11.7,6.7,7.0,1.4,0.6,5.4,14.0
C.J. McCollum\mccolcj01,SG,POR,80,2796,.585,.305,.204,2.4,9.2,5.8,18.0,1.3,1.2,9.9,27.5
T.J. McConnell\mccontj01,PG,PHI,81,2133,.504,.107,.176,2.0,11.0,6.5,37.5,3.1,0.4,22.4,14.4
Chris McCullough\mcculch01,PF,TOT,16,80,.526,.219,.156,12.1,13.3,12.7,4.4,1.2,1.9,8.1,19.9
K.J. McDaniels\mcdankj01,SF,TOT,49,505,.555,.391,.225,3.2,14.1,8.7,4.0,1.8,2.8,13.5,18.1
Doug McDermott\mcderdo01,SF,TOT,66,1508,.554,.416,.169,1.4,11.5,6.4,5.9,0.4,0.3,6.6,16.4
JaVale McGee\mcgeeja01,C,GSW,77,739,.642,.013,.348,15.8,20.1,18.1,3.8,1.2,7.1,9.8,23.8
Rodney McGruder\mcgruro01,SG,MIA,78,1966,.506,.478,.154,5.3,9.2,7.2,8.8,1.2,0.7,10.2,12.3
Ben McLemore\mclembe01,SG,SAC,61,1176,.538,.406,.222,1.9,10.8,6.4,6.9,1.2,0.5,11.9,20.1
Jordan McRae\mcraejo01,SG,CLE,37,384,.488,.340,.227,1.8,9.5,5.7,7.4,1.0,1.3,7.8,20.8
Josh McRoberts\mcrobjo01,PF,MIA,22,381,.439,.263,.076,6.6,15.0,10.7,18.9,1.3,0.8,15.9,16.9
Jodie Meeks\meeksjo01,SG,ORL,36,738,.567,.535,.289,0.7,10.9,5.7,9.3,2.3,0.4,11.1,19.4
Salah Mejri\mejrisa01,C,DAL,73,905,.650,.022,.445,11.9,28.4,19.8,2.4,1.8,6.1,19.6,10.6
Jordan Mickey\mickejo01,PF,BOS,25,141,.473,.029,.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5
Khris Middleton\middlkh01,SF,MIL,29,889,.570,.312,.276,1.5,14.5,8.1,17.5,2.3,0.7,14.8,22.5
C.J. Miles\milescj01,SF,IND,76,1776,.592,.632,.144,1.9,12.4,7.2,4.1,1.3,1.2,5.5,18.4
Mike Miller\millemi01,SF,DEN,20,151,.586,.870,.087,2.2,26.1,14.3,18.3,0.6,0.0,35.2,10.4
Patty Mills\millspa02,PG,SAS,80,1754,.577,.572,.129,1.6,7.4,4.6,24.3,1.9,0.1,13.3,19.5
Elijah Millsap\millsel01,SG,PHO,2,23,.190,.286,.286,13.8,14.6,14.2,5.6,0.0,0.0,20.2,18.0
Paul Millsap\millspa01,PF,ATL,69,2343,.542,.248,.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4
Nikola Mirotic\mirotni01,PF,CHI,70,1679,.546,.603,.205,3.9,20.9,12.3,6.9,1.6,2.7,10.4,19.8
Greg Monroe\monrogr01,C,MIL,81,1823,.572,.006,.329,10.8,23.1,17.0,17.3,2.6,1.8,14.4,24.3
E'Twaun Moore\mooreet01,SG,NOP,73,1820,.537,.336,.120,1.9,6.9,4.4,13.8,1.3,1.4,8.7,17.4
Marcus Morris\morrima03,SF,DET,79,2565,.508,.355,.184,3.2,12.8,7.8,9.4,1.0,0.8,7.4,20.3
Markieff Morris\morrima02,PF,WAS,76,2374,.540,.220,.242,5.1,18.2,11.7,7.8,1.7,1.5,11.6,20.5
Anthony Morrow\morroan01,SG,TOT,49,714,.505,.528,.147,1.9,2.9,2.4,5.2,1.7,0.2,2.2,16.4
Donatas Motiejunas\motiedo01,PF,NOP,34,479,.470,.341,.355,5.7,16.6,11.1,10.3,1.8,1.9,16.3,17.6
Timofey Mozgov\mozgoti01,C,LAL,54,1104,.553,.003,.238,9.9,16.4,13.1,5.9,0.7,2.3,16.6,16.8
Emmanuel Mudiay\mudiaem01,PG,DEN,55,1406,.483,.323,.303,2.3,11.6,7.0,21.8,1.4,0.7,16.5,22.6
Shabazz Muhammad\muhamsh01,SF,MIN,78,1516,.566,.244,.318,6.4,10.6,8.5,3.7,0.7,0.3,7.6,21.5
Dejounte Murray\murrade01,PG,SAS,38,322,.503,.198,.259,2.2,12.4,7.4,22.6,1.3,1.5,22.7,23.5
Jamal Murray\murraja01,SG,DEN,82,1764,.518,.471,.164,2.6,10.7,6.7,14.0,1.4,1.1,12.6,21.6
Mike Muscala\muscami01,C,ATL,70,1237,.596,.326,.190,6.9,14.4,10.7,11.9,1.2,2.8,13.1,14.8
Larry Nance Jr.\nancela02,PF,LAL,63,1442,.567,.100,.222,8.8,19.6,14.0,9.7,2.8,2.3,12.4,13.4
