Player,Pos,Tm,G,MP,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Larry Sanders\sandela01,C,CLE,5,13,.410,.000,.500,26.3,8.2,17.0,0.0,3.8,6.2,29.1,23.6
Dario Saric\saricda01,PF,PHI,81,2129,.508,.368,.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6
Tomas Satoransky\satorto01,SG,WAS,57,719,.480,.253,.226,3.9,9.1,6.5,16.7,1.8,0.7,19.1,12.1
Dennis Schroder\schrode01,PG,ATL,79,2485,.533,.242,.210,1.9,9.0,5.5,35.5,1.5,0.6,16.3,27.8
Luis Scola\scolalu01,PF,BRK,36,461,.550,.331,.245,11.9,20.0,16.0,12.7,1.4,0.7,16.9,18.7
Mike Scott\scottmi01,PF,ATL,18,195,.360,.458,.136,5.7,15.0,10.4,12.5,1.0,1.3,11.3,15.8
Thabo Sefolosha\sefolth01,SF,ATL,62,1596,.519,.304,.190,3.8,14.7,9.3,9.9,3.0,1.7,11.9,13.3
Wayne Selden\seldewa01,SG,TOT,14,236,.525,.483,.379,0.5,7.2,3.8,8.5,1.3,0.4,15.1,15.3
Kevin Seraphin\serapke01,PF,IND,49,559,.559,.010,.111,8.3,20.0,14.3,6.7,0.6,3.1,12.3,19.0
Ramon Sessions\sessira01,PG,CHO,50,811,.495,.236,.449,1.5,8.5,4.9,24.2,1.6,0.3,12.7,20.1
Iman Shumpert\shumpim01,SG,CLE,76,1937,.536,.534,.184,2.3,9.9,6.2,7.8,1.6,1.1,12.9,13.9
Pascal Siakam\siakapa01,PF,TOR,55,859,.523,.034,.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1
Jonathon Simmons\simmojo02,SG,SAS,78,1392,.504,.242,.314,1.7,11.1,6.5,13.2,1.7,1.5,13.7,18.0
Kyle Singler\singlky01,SF,OKC,32,385,.486,.446,.205,2.3,11.5,6.9,3.2,0.9,1.0,10.8,11.2
Marcus Smart\smartma01,SG,BOS,79,2399,.486,.443,.334,3.7,10.5,7.1,22.0,2.6,1.2,15.6,18.8
Ish Smith\smithis01,PG,DET,81,1955,.477,.140,.136,1.1,12.4,6.6,32.5,1.6,1.4,12.4,20.5
J.R. Smith\smithjr01,SG,CLE,41,1187,.484,.761,.042,1.6,8.6,5.2,7.3,1.7,0.7,6.7,14.6
Jason Smith\smithja02,C,WAS,74,1068,.598,.237,.155,6.8,20.4,13.6,5.0,1.0,4.3,14.2,16.7
Tony Snell\snellto01,SG,MIL,80,2336,.603,.656,.107,1.1,11.1,6.2,5.9,1.2,0.5,8.8,12.1
Marreese Speights\speigma01,C,LAC,82,1286,.584,.505,.250,7.9,24.1,16.2,8.1,0.9,2.6,10.2,23.6
Tiago Splitter\splitti01,C,PHI,8,76,.544,.194,.355,11.6,20.3,15.9,8.9,0.6,1.0,14.3,23.9
Nik Stauskas\stausni01,SG,PHI,80,2188,.540,.566,.237,1.1,10.3,5.7,12.9,1.0,1.2,15.5,16.4
Lance Stephenson\stephla01,SG,TOT,18,361,.485,.167,.108,1.2,14.8,8.0,24.8,0.7,0.7,17.1,18.7
Jarnell Stokes\stokeja01,C,DEN,2,7,.798,.000,2.000,15.9,15.6,15.8,40.1,7.0,0.0,0.0,11.4
Diamond Stone\stonedi01,C,LAC,7,24,.339,.000,.308,4.8,22.7,14.0,0.0,0.0,3.4,11.9,31.3
Rodney Stuckey\stuckro01,PG,IND,39,696,.483,.246,.439,1.0,12.4,6.8,17.7,1.2,0.0,15.4,22.2
Jared Sullinger\sullija01,PF,TOR,11,118,.359,.375,.167,9.6,16.3,12.9,3.7,1.7,0.7,7.2,21.0
Edy Tavares\tavarwa01,C,TOT,2,28,.633,.000,.600,16.3,26.7,21.6,5.1,0.0,17.3,24.0,13.2
Isaiah Taylor\taylois01,PG,HOU,4,52,.190,.286,.286,2.1,4.2,3.1,7.1,0.9,1.6,0.0,6.4
Jeff Teague\teaguje01,PG,IND,82,2657,.574,.277,.457,1.4,12.4,7.0,36.4,1.9,1.1,16.5,22.1
Mirza Teletovic\teletmi01,PF,MIL,70,1133,.515,.730,.108,1.1,15.4,8.3,6.4,0.5,1.0,7.8,19.1
